wdt:P17	custom:count	0019479275
wdt:P131	custom:count	0014425512
wdt:P1215	custom:count	0014309901
wdt:P106	custom:count	0012568904
wdt:P953	custom:count	0012516286
wdt:P625	custom:count	0011859145
wdt:P21	custom:count	0010685907
wdt:P735	custom:count	0008487824
wdt:P6259	custom:count	0008174171
wdt:P6257	custom:count	0008095909
wdt:P6258	custom:count	0008095838
wdt:P3083	custom:count	0008063660
wdt:P2671	custom:count	0007621107
wdt:P569	custom:count	0007532720
wdt:P59	custom:count	0007370980
wdt:P932	custom:count	0006609202
wdt:P373	custom:count	0006244503
wdt:P18	custom:count	0006074355
wdt:P27	custom:count	0005972176
wdt:P734	custom:count	0005928027
wdt:P361	custom:count	0005267685
wdt:P279	custom:count	0005151782
wdt:P276	custom:count	0004775866
wdt:P13228	custom:count	0004606217
wdt:P5875	custom:count	0004586358
wdt:P646	custom:count	0004425216
wdt:P6216	custom:count	0004410249
wdt:P684	custom:count	0004380063
wdt:P214	custom:count	0004363766
wdt:P10752	custom:count	0004088735
wdt:P10751	custom:count	0004088673
wdt:P1566	custom:count	0004018003
wdt:P571	custom:count	0003968434
wdt:P171	custom:count	0003945452
wdt:P225	custom:count	0003942833
wdt:P105	custom:count	0003940443
wdt:P19	custom:count	0003780974
wdt:P2216	custom:count	0003778365
wdt:P195	custom:count	0003776672
wdt:P2214	custom:count	0003686851
wdt:P973	custom:count	0003672794
wdt:P570	custom:count	0003603469
wdt:P971	custom:count	0003388822
wdt:P69	custom:count	0003342161
wdt:P846	custom:count	0003319854
wdt:P1412	custom:count	0003300674
wdt:P6769	custom:count	0003060786
wdt:P2583	custom:count	0003031246
wdt:P495	custom:count	0002895933
wdt:P703	custom:count	0002888673
wdt:P1813	custom:count	0002795942
wdt:P527	custom:count	0002708018
wdt:P227	custom:count	0002651705
wdt:P1104	custom:count	0002647677
wdt:P1435	custom:count	0002567659
wdt:P1448	custom:count	0002458629
wdt:P136	custom:count	0002433460
wdt:P641	custom:count	0002419729
wdt:P275	custom:count	0002395699
wdt:P213	custom:count	0002316098
wdt:P108	custom:count	0002312020
wdt:P281	custom:count	0002289203
wdt:P10585	custom:count	0002289152
wdt:P856	custom:count	0002263535
wdt:P186	custom:count	0002211887
wdt:P6375	custom:count	0002209765
wdt:P13046	custom:count	0002148763
wdt:P421	custom:count	0002130207
wdt:P2326	custom:count	0002111601
wdt:P9157	custom:count	0002035794
wdt:P1082	custom:count	0002018015
wdt:P496	custom:count	0001940393
wdt:P40	custom:count	0001911017
wdt:P1343	custom:count	0001897906
wdt:P217	custom:count	0001788629
wdt:P166	custom:count	0001757413
wdt:P161	custom:count	0001725922
wdt:P244	custom:count	0001715999
wdt:P2067	custom:count	0001711391
wdt:P155	custom:count	0001698142
wdt:P156	custom:count	0001675698
wdt:P20	custom:count	0001612808
wdt:P54	custom:count	0001610430
wdt:P2044	custom:count	0001565819
wdt:P6179	custom:count	0001540703
wdt:P39	custom:count	0001484332
wdt:P170	custom:count	0001455760
wdt:P274	custom:count	0001426730
wdt:P5055	custom:count	0001382879
wdt:P662	custom:count	0001376068
wdt:P2048	custom:count	0001369708
wdt:P10832	custom:count	0001368836
wdt:P235	custom:count	0001366007
wdt:P233	custom:count	0001364935
wdt:P234	custom:count	0001364573
wdt:P5008	custom:count	0001355935
wdt:P101	custom:count	0001341023
wdt:P13591	custom:count	0001243592
wdt:P1705	custom:count	0001230237
wdt:P793	custom:count	0001201745
wdt:P1889	custom:count	0001188710
wdt:P22	custom:count	0001183588
wdt:P819	custom:count	0001165389
wdt:P8608	custom:count	0001157507
wdt:P13049	custom:count	0001156550
wdt:P680	custom:count	0001154778
wdt:P150	custom:count	0001153377
wdt:P1001	custom:count	0001151892
wdt:P2049	custom:count	0001151261
wdt:P345	custom:count	0001138257
wdt:P682	custom:count	0001134368
wdt:P127	custom:count	0001132637
wdt:P6104	custom:count	0001115009
wdt:P830	custom:count	0001105850
wdt:P644	custom:count	0001085031
wdt:P645	custom:count	0001085030
wdt:P11089	custom:count	0001065509
wdt:P2548	custom:count	0001058569
wdt:P585	custom:count	0001056752
wdt:P11699	custom:count	0001050934
wdt:P179	custom:count	0001031157
wdt:P269	custom:count	0001022382
wdt:P5572	custom:count	0000983760
wdt:P702	custom:count	0000981256
wdt:P1090	custom:count	0000980142
wdt:P688	custom:count	0000978210
wdt:P180	custom:count	0000969590
wdt:P4224	custom:count	0000946816
wdt:P231	custom:count	0000945340
wdt:P159	custom:count	0000942123
wdt:P47	custom:count	0000930802
wdt:P710	custom:count	0000928828
wdt:P123	custom:count	0000925964
wdt:P580	custom:count	0000922881
wdt:P7715	custom:count	0000920871
wdt:P961	custom:count	0000908069
wdt:P282	custom:count	0000907085
wdt:P5037	custom:count	0000891698
wdt:P1344	custom:count	0000890294
wdt:P26	custom:count	0000886235
wdt:P3382	custom:count	0000884216
wdt:P3117	custom:count	0000882465
wdt:P7959	custom:count	0000873788
wdt:P7902	custom:count	0000867407
wdt:P590	custom:count	0000852800
wdt:P3151	custom:count	0000850575
wdt:P8494	custom:count	0000848688
wdt:P691	custom:count	0000847189
wdt:P681	custom:count	0000842922
wdt:P8189	custom:count	0000840214
wdt:P137	custom:count	0000836686
wdt:P582	custom:count	0000807635
wdt:P351	custom:count	0000788066
wdt:P301	custom:count	0000785996
wdt:P1843	custom:count	0000782312
wdt:P910	custom:count	0000781340
wdt:P637	custom:count	0000771549
wdt:P215	custom:count	0000770838
wdt:P1559	custom:count	0000765496
wdt:P442	custom:count	0000753359
wdt:P2046	custom:count	0000743613
wdt:P268	custom:count	0000740555
wdt:P2892	custom:count	0000737710
wdt:P25	custom:count	0000735139
wdt:P1454	custom:count	0000730590
wdt:P4638	custom:count	0000718821
wdt:P3368	custom:count	0000705883
wdt:P291	custom:count	0000703269
wdt:P850	custom:count	0000695784
wdt:P452	custom:count	0000694507
wdt:P1207	custom:count	0000693977
wdt:P7937	custom:count	0000687681
wdt:P463	custom:count	0000672364
wdt:P126	custom:count	0000661282
wdt:P639	custom:count	0000656729
wdt:P815	custom:count	0000651937
wdt:P140	custom:count	0000646026
wdt:P1225	custom:count	0000645112
wdt:P6879	custom:count	0000641215
wdt:P1057	custom:count	0000635054
wdt:P6224	custom:count	0000631670
wdt:P352	custom:count	0000627234
wdt:P685	custom:count	0000626400
wdt:P175	custom:count	0000625660
wdt:P102	custom:count	0000619615
